airline,review_score,review_date,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,has_layover,pos_neu_neg_review,recommended
Turkish Airlines,1.0,2019-02-17,Family Leisure,Economy Class,San Francisco to Addis Ababa via Istanbul,2018-09-01,4.0,3.0,4.0,3.0,1.0,1.0,True,neg,False
Turkish Airlines,5.0,2019-02-17,Business,Economy Class,Kuala Lumpur to Geneva via Istanbul,2019-02-01,2.0,3.0,4.0,3.0,4.0,4.0,True,neu,False
Turkish Airlines,1.0,2019-02-17,Business,Economy Class,Maputo to Almaty via Istanbul,2019-02-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,4.0,2019-02-17,Solo Leisure,Business Class,Toronto to Karachi via Istanbul,2019-02-01,1.0,2.0,3.0,3.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2019-02-14,Business,Economy Class,Berlin to Manila via Istanbul,2018-12-01,2.0,2.0,1.0,2.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2019-02-14,Couple Leisure,Business Class,Istanbul to London,2019-01-01,3.0,1.0,2.0,1.0,1.0,1.0,False,neg,False
Turkish Airlines,8.0,2019-02-13,Couple Leisure,Economy Class,Athens to Havana via Istanbul,2019-02-01,4.0,5.0,5.0,4.0,3.0,5.0,True,pos,True
Turkish Airlines,4.0,2019-02-12,Couple Leisure,Economy Class,Vienna to Istanbul,2019-02-01,3.0,3.0,4.0,1.0,1.0,2.0,False,neg,False
Turkish Airlines,2.0,2019-02-12,Business,Economy Class,Tel Aviv to Singapore via Istanbul,2019-01-01,2.0,2.0,3.0,1.0,1.0,3.0,True,neg,False
Turkish Airlines,3.0,2019-02-06,Solo Leisure,Economy Class,Kathmandu to Munich via Istanbul,2019-02-01,2.0,4.0,3.0,4.0,2.0,1.0,True,neg,False
Turkish Airlines,7.0,2019-02-05,Couple Leisure,Economy Class,Sharm el Sheikh to Frankfurt via Istanbul,2019-02-01,4.0,4.0,2.0,1.0,5.0,3.0,True,pos,False
Turkish Airlines,10.0,2019-02-04,Couple Leisure,Economy Class,Istanbul to Male,2019-01-01,5.0,5.0,5.0,5.0,5.0,5.0,False,pos,True
Turkish Airlines,10.0,2019-01-31,Solo Leisure,Economy Class,Tel Aviv to Brussels via Istanbul,2019-01-01,5.0,5.0,5.0,5.0,4.0,5.0,True,pos,True
Turkish Airlines,7.0,2019-01-28,Business,Economy Class,Baku to Istanbul,2019-01-01,3.0,5.0,5.0,4.0,5.0,4.0,False,pos,True
Turkish Airlines,1.0,2019-01-27,Business,Business Class,Sao Paulo to Istanbul,2019-01-01,3.0,1.0,1.0,2.0,4.0,1.0,False,neg,False
Turkish Airlines,8.0,2019-01-25,Business,Economy Class,İstanbul to Frankfurt,2019-01-01,4.0,4.0,4.0,4.0,4.0,4.0,False,pos,True
Turkish Airlines,1.0,2019-01-21,Business,Economy Class,Istanbul to Dushanbe,2019-01-01,1.0,2.0,1.0,1.0,1.0,1.0,False,neg,False
Turkish Airlines,10.0,2019-01-20,Business,Business Class,Boston to Amsterdam via Istanbul,2019-01-01,4.0,5.0,5.0,5.0,5.0,5.0,True,pos,True
Turkish Airlines,8.0,2019-01-20,Business,Economy Class,London to Istanbul,2018-11-01,3.0,4.0,4.0,2.0,4.0,4.0,False,pos,True
Turkish Airlines,1.0,2019-01-18,Solo Leisure,Economy Class,Mumbai to Los Angeles via Istanbul,2019-01-01,3.0,1.0,1.0,2.0,1.0,2.0,True,neg,False
Turkish Airlines,1.0,2019-01-17,Business,Business Class,Istanbul to Beirut,2019-01-01,2.0,1.0,2.0,1.0,1.0,3.0,False,neg,False
Turkish Airlines,1.0,2019-01-17,Solo Leisure,Business Class,Kilaminjaro to Chicago via Istanbul,2018-12-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,10.0,2019-01-16,Couple Leisure,Business Class,Stockholm to Bangkok via Istanbul,2019-01-01,5.0,5.0,5.0,5.0,5.0,5.0,True,pos,True
Turkish Airlines,1.0,2019-01-16,Business,Business Class,Lahore to Frankfurt via Istanbul,2019-01-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2019-01-13,Family Leisure,Economy Class,Durban to Houston via Istanbul,2018-12-01,3.0,3.0,3.0,3.0,1.0,1.0,True,neg,False
